Batch_size;Epochs;Modello;Train_acc;Test_acc;Test_acc_std
128;40;mel_cnn;0.686597049;0.611353612;0.047694764
128;40;mel_cnn;0.674816608;0.569584501;0.032391858
128;50;mel_cnn;0.718604147;0.615429354;0.034647131
128;50;mel_cnn;0.733940899;0.575193101;0.045015654
128;50;mel_cnn;0.690375626;0.568338412;0.049120674
128;70;mel_cnn;0.772393882;0.638697577;0.049290426
128;70;mel_cnn;0.770615697;0.63979522;0.043967731
128;70;mel_cnn;0.79928875;0.636917591;0.047366512
32;30;chroma_cnn;0.58879751;0.515955919;0.027362992
32;30;chroma_cnn;0.589686573;0.496642321;0.022086714
32;30;chroma_cnn;0.573238492;0.473469567;0.020438151
32;40;chroma_cnn;0.620804608;0.525212991;0.020707972
32;40;chroma_cnn;0.611024678;0.512406063;0.0128065
32;40;chroma_cnn;0.607912898;0.519807011;0.023870746
32;50;chroma_cnn;0.629473209;0.536675334;0.023874104
32;50;chroma_cnn;0.63302958;0.524413842;0.031237719
32;50;chroma_cnn;0.624583244;0.521066993;0.02162318
32;70;chroma_cnn;0.655923545;0.523471326;0.035373152
32;70;chroma_cnn;0.663703024;0.546725583;0.0254248
32;70;chroma_cnn;0.668148458;0.551991749;0.020887194
64;30;chroma_cnn;0.548788607;0.48134439;0.028832519
64;30;chroma_cnn;0.543009579;0.449684721;0.026057237
64;30;chroma_cnn;0.537675023;0.462440473;0.025128976
64;40;chroma_cnn;0.575461209;0.468840647;0.023989138
64;40;chroma_cnn;0.578128457;0.475468147;0.023628862
64;40;chroma_cnn;0.576350272;0.491246408;0.024325176
64;50;chroma_cnn;0.595021129;0.496908355;0.02971532
64;50;chroma_cnn;0.602800608;0.495256263;0.028153545
64;50;chroma_cnn;0.594354272;0.493592548;0.01607637
64;70;chroma_cnn;0.615692377;0.519155025;0.03049186
64;70;chroma_cnn;0.631251395;0.520308208;0.019028781
64;70;chroma_cnn;0.638808608;0.519436747;0.028282252
128;30;chroma_cnn;0.491442531;0.430047756;0.038126765
128;30;chroma_cnn;0.496554792;0.431926262;0.031675109
128;30;chroma_cnn;0.49255389;0.423768395;0.020194798
128;40;chroma_cnn;0.517448306;0.448991632;0.023592386
128;40;chroma_cnn;0.519226491;0.440504956;0.0298922
128;40;chroma_cnn;0.517003775;0.43502062;0.024793679
128;50;chroma_cnn;0.542342722;0.454015905;0.020413641
128;50;chroma_cnn;0.56301403;0.467408872;0.022028594
